Model,Accuracy,Precision,Recall,F1
LogisticRegression,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333
KNN,0.9333333333333333,0.9444444444444445,0.9333333333333333,0.9326599326599326
SVM,0.9666666666666667,0.9696969696969696,0.9666666666666667,0.9665831244778613
DecisionTree,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333
